word,betweenness,community
national,0.0,0
finance,0.0,1
rural,0.0,0
development,0.0,0
public,0.0,2
work,0.0,3
parliamentary,0.0,4
power,0.0,2
education,0.0,0
poor,0.0,2
areas,0.0,0
people,0.0,2
pradesh,0.0,4
country,0.0,2
number,0.0,2
world,0.0,2
would,0.0,2
district,0.0,4
land,0.0,1
health,0.0,0
ministry,0.0,0
agriculture,0.0,1
farmers,0.0,1
system,0.0,2
made,0.0,2
prime,0.0,2
time,0.0,2
regarding,0.0,4
railway,0.0,3
line,0.0,3
support,0.0,2
water,0.0,0
important,0.0,2
issue,0.0,2
taken,0.0,2
given,0.0,2
therefore,0.0,2
regard,0.0,2
years,0.0,2
increased,0.0,1
every,0.0,2
must,0.0,2
last,0.0,2
even,0.0,2
express,0.0,3
provided,0.0,3
today,0.0,2
request,0.0,3
lakh,0.0,1
train,0.0,3
increase,0.0,1
budget,0.0,1
crore,0.0,1
money,0.0,2
provision,0.0,2
cent,0.0,1
women,0.0,5
rail,0.0,3
railways,0.0,3
station,0.0,3
